,,"1 = all the heat is kept in the zone, 0 = all heat lost to external",Fraction of Heat released as water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,EquipmentLevel,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Watts/Area,,,,,,,,,,,,,,
,,,,Unit Power (W),Appliance level Multiplier (NOT USED),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Appliance,EP_purpose,Useful Gains,Fraction latent,Design Level (W) ,Gross Rated Cooling COP,Gross Rated Heating COP,Efficiency,Peak_Flow_Rate,4,5,6,7,8,9,10,PM25(mg/min),PM10(mg/min),NO2(mug/s),Calculation Method,Notes,watts per zone floor area [w/m2],watts per person [w/p],fraction radiant,fraction lost,occupancy [m2/p],flow per exterior surface m3/s-m2,flow rate per person m3/s-p,,,sigma,lower,upper,
Office_People,People,,,,,,,,,,,,,,,,,,Area/Person,,,,,,6.224188776,,,,,1.244837755,2.48967551,9.958702041,20
Circulation_People,People,,,,,,,,,,,,,,,,,,Area/Person,,,,,,13.83153061,,,,,2.766306122,5.532612245,22.13044898,20
Meeting_People,People,,,,,,,,,,,,,,,,,,Area/Person,,,,,,6.224188776,,,,,1.244837755,2.48967551,9.958702041,20
Server_People,People,,,,,,,,,,,,,,,,,,Area/Person,,,,,,6.224188776,,,,,1.244837755,2.48967551,9.958702041,20
Reception_People,People,,,,,,,,,,,,,,,,,,Area/Person,,,,,,8.298918367,,,,,1.659783673,3.319567347,13.27826939,20
ComputerCluster_People,People,,,,,,,,,,,,,,,,,,Area/Person,,,,,,4.841035714,,,,,0.968207143,1.936414286,7.745657143,20
Library_People,People,,,,,,,,,,,,,,,,,,Area/Person,,,,,,6.224188776,,,,,1.244837755,2.48967551,9.958702041,20
Office_Lighting,Lights,,,,,,,,,,,,,,,,,,Watts/Area,,10.15455409,,,,,,,,,2.030910819,4.061821638,16.24728655,20
